AGE75591.1	HD73_0001
AGE77455.1	HD73_1877
AGE77456.1	HD73_1878
AGE77457.1	HD73_1879
AGE77458.1	HD73_1880
AGE77459.1	HD73_1881
AGE77460.1	HD73_1882
AGE77461.1	HD73_1883
AGE77462.1	HD73_1884
AGE77463.1	HD73_1885
AGE77464.1	HD73_1886
AGE77465.1	HD73_1887
AGE77466.1	HD73_1888
AGE77467.1	HD73_1889
AGE77468.1	HD73_1890
AGE77469.1	HD73_1891
AGE77470.1	HD73_1892
AGE77471.1	HD73_1893
AGE77472.1	HD73_1894
AGE77473.1	HD73_1895
AGE77474.1	HD73_1896
AGE77475.1	HD73_1897
AGE77476.1	HD73_1898
AGE77477.1	HD73_1899
AGE77478.1	HD73_1900
AGE77479.1	HD73_1901
AGE77480.1	HD73_1902
AGE77481.1	HD73_1903
AGE77482.1	HD73_1904
AGE77483.1	HD73_1905
AGE77484.1	HD73_1906
AGE77485.1	HD73_1907
AGE77486.1	HD73_1908
AGE77487.1	HD73_1909
AGE77488.1	HD73_1910
AGE77489.1	HD73_1911
AGE77490.1	HD73_1912
AGE77491.1	HD73_1913
AGE77492.1	HD73_1914
AGE77493.1	HD73_1915
AGE77494.1	HD73_1916
AGE77495.1	HD73_1917
AGE77496.1	HD73_1918
AGE77497.1	HD73_1919
AGE77498.1	HD73_1920
AGE77499.1	HD73_1921
AGE77500.1	HD73_1922
AGE77501.1	HD73_1923
AGE77502.1	HD73_1924
AGE77503.1	HD73_1925
AGE77504.1	HD73_1926
AGE77505.1	HD73_1927
AGE77506.1	HD73_1928
AGE77507.1	HD73_1929
AGE77508.1	HD73_1930
AGE77509.1	HD73_1931
AGE77510.1	HD73_1932
AGE77511.1	HD73_1933
AGE77512.1	HD73_1934
AGE77513.1	HD73_1935
AGE77514.1	HD73_1936
AGE77515.1	HD73_1937
AGE77516.1	HD73_1938
AGE77517.1	HD73_1939
AGE77518.1	HD73_1940
AGE77519.1	HD73_1941
AGE77520.1	HD73_1942
AGE77521.1	HD73_1943
AGE77522.1	HD73_1944
AGE77523.1	HD73_1945
AGE77524.1	HD73_1946
AGE77525.1	HD73_1947
AGE77526.1	HD73_1948
AGE77527.1	HD73_1949
AGE77528.1	HD73_1950
AGE77529.1	HD73_1951
AGE77530.1	HD73_1952
AGE77531.1	HD73_1953
AGE77532.1	HD73_1954
AGE77533.1	HD73_1955
AGE77534.1	HD73_1956
AGE77535.1	HD73_1957
AGE77536.1	HD73_1958
AGE77537.1	HD73_1959
AGE77538.1	HD73_1960
AGE77539.1	HD73_1961
AGE77540.1	HD73_1962
AGE77541.1	HD73_1963
AGE77542.1	HD73_1964
AGE77543.1	HD73_1965
AGE77544.1	HD73_1966
AGE77545.1	HD73_1967
AGE77546.1	HD73_1968
AGE77547.1	HD73_1969
AGE77548.1	HD73_1970
AGE77549.1	HD73_1971
AGE77550.1	HD73_1972
AGE77551.1	HD73_1973
AGE77552.1	HD73_1974
AGE77553.1	HD73_1975
AGE77554.1	HD73_1976
AGE77555.1	HD73_1977
AGE77556.1	HD73_1978
AGE77557.1	HD73_1979
AGE77558.1	HD73_1980
AGE77559.1	HD73_1981
AGE77560.1	HD73_1982
AGE77561.1	HD73_1983
AGE77562.1	HD73_1984
AGE77563.1	HD73_1985
AGE77564.1	HD73_1986
AGE77565.1	HD73_1987
AGE77566.1	HD73_1988
AGE77567.1	HD73_1989
AGE77568.1	HD73_1990
AGE77569.1	HD73_1991
AGE77570.1	HD73_1992
AGE77571.1	HD73_1993
AGE77572.1	HD73_1994
AGE77573.1	HD73_1995
AGE77574.1	HD73_1996
AGE77575.1	HD73_1997
AGE77576.1	HD73_1998
AGE77577.1	HD73_1999
AGE77578.1	HD73_2000
AGE77579.1	HD73_2001
AGE77580.1	HD73_2002
AGE77581.1	HD73_2003
AGE77582.1	HD73_2004
AGE77583.1	HD73_2005
AGE77584.1	HD73_2006
AGE77585.1	HD73_2007
AGE77586.1	HD73_2008
AGE77587.1	HD73_2009
AGE77588.1	HD73_2010
AGE77589.1	HD73_2011
AGE77590.1	HD73_2012
AGE77591.1	HD73_2013
AGE77592.1	HD73_2014
AGE77593.1	HD73_2015
AGE77594.1	HD73_2016
AGE77595.1	HD73_2017
AGE77596.1	HD73_2018
AGE77597.1	HD73_2019
AGE77598.1	HD73_2020
AGE77599.1	HD73_2021
AGE77600.1	HD73_2022
AGE77601.1	HD73_2023
AGE77602.1	HD73_2024
AGE77603.1	HD73_2025
AGE77604.1	HD73_2026
AGE77605.1	HD73_2027
AGE77606.1	HD73_2028
AGE77607.1	HD73_2029
AGE77608.1	HD73_2030
AGE77609.1	HD73_2031
AGE77610.1	HD73_2032
AGE77611.1	HD73_2033
AGE77612.1	HD73_2034
AGE77613.1	HD73_2035
AGE77614.1	HD73_2036
AGE77615.1	HD73_2037
AGE77616.1	HD73_2038
AGE77617.1	HD73_2039
AGE77618.1	HD73_2040
AGE77619.1	HD73_2041
AGE77620.1	HD73_2042
AGE77621.1	HD73_2043
AGE77622.1	HD73_2044
AGE77623.1	HD73_2045
AGE77624.1	HD73_2046
AGE77625.1	HD73_2047
AGE77626.1	HD73_2048
AGE77627.1	HD73_2049
AGE77628.1	HD73_2050
AGE77629.1	HD73_2051
AGE77630.1	HD73_2052
AGE77631.1	HD73_2053
AGE77632.1	HD73_2054
AGE77633.1	HD73_2055
AGE77634.1	HD73_2056
AGE77635.1	HD73_2057
AGE77636.1	HD73_2058
AGE77637.1	HD73_2059
AGE77638.1	HD73_2060
AGE77639.1	HD73_2061
AGE77640.1	HD73_2062
AGE77641.1	HD73_2063
AGE77642.1	HD73_2064
AGE77643.1	HD73_2065
AGE77644.1	HD73_2066
AGE77645.1	HD73_2067
AGE77646.1	HD73_2068
AGE77647.1	HD73_2069
AGE77648.1	HD73_2070
AGE77649.1	HD73_2071
AGE77650.1	HD73_2072
AGE77651.1	HD73_2073
AGE77652.1	HD73_2074
AGE77653.1	HD73_2075
AGE77654.1	HD73_2076
AGE77655.1	HD73_2077
AGE77656.1	HD73_2078
AGE77657.1	HD73_2079
AGE77658.1	HD73_2080
AGE77659.1	HD73_2081
AGE77660.1	HD73_2082
AGE77661.1	HD73_2083
AGE77662.1	HD73_2084
AGE77663.1	HD73_2085
AGE77664.1	HD73_2086
AGE77665.1	HD73_2087
AGE77666.1	HD73_2088
AGE77667.1	HD73_2089
AGE77668.1	HD73_2090
AGE77669.1	HD73_2091
AGE77670.1	HD73_2092
AGE77671.1	HD73_2093
AGE77672.1	HD73_2094
AGE77673.1	HD73_2095
AGE77674.1	HD73_2096
AGE77675.1	HD73_2097
AGE77676.1	HD73_2098
AGE77677.1	HD73_2099
AGE77678.1	HD73_2100
AGE77679.1	HD73_2101
AGE77680.1	HD73_2102
AGE77681.1	HD73_2103
AGE77682.1	HD73_2104
AGE77683.1	HD73_2105
AGE77684.1	HD73_2106
AGE77685.1	HD73_2107
AGE77686.1	HD73_2108
AGE77687.1	HD73_2109
AGE77688.1	HD73_2110
AGE77689.1	HD73_2111
AGE77690.1	HD73_2112
AGE77691.1	HD73_2113
AGE77692.1	HD73_2114
AGE77693.1	HD73_2115
AGE77694.1	HD73_2116
AGE77695.1	HD73_2117
AGE77696.1	HD73_2118
AGE77697.1	HD73_2119
AGE77698.1	HD73_2120
AGE77699.1	HD73_2121
AGE77700.1	HD73_2122
AGE77701.1	HD73_2123
AGE77702.1	HD73_2124
AGE77703.1	HD73_2125
AGE77704.1	HD73_2126
AGE77705.1	HD73_2127
AGE77706.1	HD73_2128
AGE77707.1	HD73_2129
AGE77708.1	HD73_2130
AGE77709.1	HD73_2131
AGE77710.1	HD73_2132
AGE77711.1	HD73_2133
AGE77712.1	HD73_2134
AGE77713.1	HD73_2135
AGE77714.1	HD73_2136
AGE77715.1	HD73_2137
AGE77716.1	HD73_2138
AGE77717.1	HD73_2139
AGE77718.1	HD73_2140
AGE77719.1	HD73_2141
AGE77720.1	HD73_2142
AGE77721.1	HD73_2143
AGE77722.1	HD73_2144
AGE77723.1	HD73_2145
AGE77724.1	HD73_2146
AGE77725.1	HD73_2147
AGE77726.1	HD73_2148
AGE77727.1	HD73_2149
AGE77728.1	HD73_2150
AGE77729.1	HD73_2151
AGE77730.1	HD73_2152
AGE77731.1	HD73_2153
AGE77732.1	HD73_2154
AGE77733.1	HD73_2155
AGE77734.1	HD73_2156
AGE77735.1	HD73_2157
AGE77736.1	HD73_2158
AGE77737.1	HD73_2159
AGE77738.1	HD73_2160
AGE77739.1	HD73_2161
AGE77740.1	HD73_2162
AGE77741.1	HD73_2163
AGE77742.1	HD73_2164
AGE77743.1	HD73_2165
AGE77744.1	HD73_2166
AGE77745.1	HD73_2167
AGE77746.1	HD73_2168
AGE77747.1	HD73_2169
AGE77748.1	HD73_2170
AGE77749.1	HD73_2171
AGE77750.1	HD73_2172
AGE77751.1	HD73_2173
AGE77752.1	HD73_2174
AGE77753.1	HD73_2175
AGE77754.1	HD73_2176
AGE77755.1	HD73_2177
AGE77756.1	HD73_2178
AGE77757.1	HD73_2179
AGE77758.1	HD73_2180
AGE77759.1	HD73_2181
AGE77760.1	HD73_2182
AGE77761.1	HD73_2183
AGE77762.1	HD73_2184
AGE77763.1	HD73_2185
AGE77764.1	HD73_2186
AGE77765.1	HD73_2187
AGE77766.1	HD73_2188
AGE77767.1	HD73_2189
AGE77768.1	HD73_2190
AGE77769.1	HD73_2191
AGE77770.1	HD73_2192
AGE77771.1	HD73_2193
AGE77772.1	HD73_2194
AGE77773.1	HD73_2195
AGE77774.1	HD73_2196
AGE77775.1	HD73_2197
AGE77776.1	HD73_2198
AGE77777.1	HD73_2199
AGE77778.1	HD73_2200
AGE77779.1	HD73_2201
AGE77780.1	HD73_2202
AGE77781.1	HD73_2203
AGE77782.1	HD73_2204
AGE77783.1	HD73_2205
AGE77784.1	HD73_2206
AGE77785.1	HD73_2207
AGE77786.1	HD73_2208
AGE77787.1	HD73_2209
AGE77788.1	HD73_2210
AGE77789.1	HD73_2211
AGE77790.1	HD73_2212
AGE77791.1	HD73_2213
AGE77792.1	HD73_2214
AGE77793.1	HD73_2215
AGE77794.1	HD73_2216
AGE77795.1	HD73_2217
AGE77796.1	HD73_2218
AGE77797.1	HD73_2219
AGE77798.1	HD73_2220
AGE77799.1	HD73_2221
AGE77800.1	HD73_2222
AGE77801.1	HD73_2223
AGE77802.1	HD73_2224
AGE77803.1	HD73_2225
AGE77804.1	HD73_2226
AGE77805.1	HD73_2227
AGE77806.1	HD73_2228
AGE77807.1	HD73_2229
AGE77808.1	HD73_2230
AGE77809.1	HD73_2231
AGE77810.1	HD73_2232
AGE77811.1	HD73_2233
AGE77812.1	HD73_2234
AGE77813.1	HD73_2235
AGE77814.1	HD73_2236
AGE77815.1	HD73_2237
AGE77816.1	HD73_2238
AGE77817.1	HD73_2239
AGE77818.1	HD73_2240
AGE77819.1	HD73_2241
AGE77820.1	HD73_2242
AGE77821.1	HD73_2243
AGE77822.1	HD73_2244
AGE77823.1	HD73_2245
AGE77824.1	HD73_2246
AGE77825.1	HD73_2247
AGE77826.1	HD73_2248
AGE77827.1	HD73_2249
AGE77828.1	HD73_2250
AGE77829.1	HD73_2251
AGE77830.1	HD73_2252
AGE77831.1	HD73_2253
AGE77832.1	HD73_2254
AGE77833.1	HD73_2255
AGE77834.1	HD73_2256
AGE77835.1	HD73_2257
AGE77836.1	HD73_2258
AGE77837.1	HD73_2259
AGE77838.1	HD73_2260
AGE77839.1	HD73_2261
AGE77840.1	HD73_2262
AGE77841.1	HD73_2263
AGE77842.1	HD73_2264
AGE77843.1	HD73_2265
AGE77844.1	HD73_2266
AGE77845.1	HD73_2267
AGE77846.1	HD73_2268
AGE77847.1	HD73_2269
AGE77848.1	HD73_2270
AGE77849.1	HD73_2271
AGE77850.1	HD73_2272
AGE77851.1	HD73_2273
AGE77852.1	HD73_2274
AGE77853.1	HD73_2275
AGE77854.1	HD73_2276
AGE77855.1	HD73_2277
AGE77856.1	HD73_2278
AGE77857.1	HD73_2279
AGE77858.1	HD73_2280
AGE77859.1	HD73_2281
AGE77860.1	HD73_2282
AGE77861.1	HD73_2283
AGE77862.1	HD73_2284
AGE77863.1	HD73_2285
AGE77864.1	HD73_2286
AGE77865.1	HD73_2287
AGE77866.1	HD73_2288
AGE77867.1	HD73_2289
AGE77868.1	HD73_2290
AGE77869.1	HD73_2291
AGE77870.1	HD73_2292
AGE77871.1	HD73_2293
AGE77872.1	HD73_2294
AGE77873.1	HD73_2295
AGE77874.1	HD73_2296
AGE77875.1	HD73_2297
AGE77876.1	HD73_2298
AGE77877.1	HD73_2299
AGE77878.1	HD73_2300
AGE77879.1	HD73_2301
AGE77880.1	HD73_2302
AGE77881.1	HD73_2303
AGE77882.1	HD73_2304
AGE77883.1	HD73_2305
AGE77884.1	HD73_2306
AGE77885.1	HD73_2307
AGE77886.1	HD73_2308
AGE77887.1	HD73_2309
AGE77888.1	HD73_2310
AGE77889.1	HD73_2311
AGE77890.1	HD73_2312
AGE77891.1	HD73_2313
AGE77892.1	HD73_2314
AGE77893.1	HD73_2315
AGE77894.1	HD73_2316
AGE77895.1	HD73_2317
AGE77896.1	HD73_2318
AGE77897.1	HD73_2319
AGE77898.1	HD73_2320
AGE77899.1	HD73_2321
AGE77900.1	HD73_2322
AGE77901.1	HD73_2323
AGE77902.1	HD73_2324
AGE77903.1	HD73_2325
AGE77904.1	HD73_2326
AGE77905.1	HD73_2327
AGE77906.1	HD73_2328
AGE77907.1	HD73_2329
AGE77908.1	HD73_2330
AGE77909.1	HD73_2331
AGE77910.1	HD73_2332
AGE77911.1	HD73_2333
AGE77912.1	HD73_2334
AGE77913.1	HD73_2335
AGE77914.1	HD73_2336
AGE77915.1	HD73_2337
AGE77916.1	HD73_2338
AGE77917.1	HD73_2339
AGE77918.1	HD73_2340
AGE77919.1	HD73_2341
AGE77920.1	HD73_2342
AGE77921.1	HD73_2343
AGE77922.1	HD73_2344
AGE77923.1	HD73_2345
AGE77924.1	HD73_2346
AGE77925.1	HD73_2347
AGE77926.1	HD73_2348
AGE77927.1	HD73_2349
AGE77928.1	HD73_2350
AGE77929.1	HD73_2351
AGE77930.1	HD73_2352
AGE77931.1	HD73_2353
AGE77932.1	HD73_2354
AGE77933.1	HD73_2355
AGE77934.1	HD73_2356
AGE77935.1	HD73_2357
AGE77936.1	HD73_2358
AGE77937.1	HD73_2359
AGE77938.1	HD73_2360
AGE77939.1	HD73_2361
AGE77940.1	HD73_2362
AGE77941.1	HD73_2363
AGE77942.1	HD73_2364
AGE77943.1	HD73_2365
AGE77944.1	HD73_2366
AGE77945.1	HD73_2367
AGE77946.1	HD73_2368
AGE77947.1	HD73_2369
AGE77948.1	HD73_2370
AGE77949.1	HD73_2371
AGE77950.1	HD73_2372
AGE77951.1	HD73_2373
AGE77952.1	HD73_2374
AGE77953.1	HD73_2375
AGE77954.1	HD73_2376
AGE77955.1	HD73_2377
AGE77956.1	HD73_2378
AGE77957.1	HD73_2379
AGE77958.1	HD73_2380
AGE77959.1	HD73_2381
AGE77960.1	HD73_2382
AGE77961.1	HD73_2383
AGE77962.1	HD73_2384
AGE77963.1	HD73_2385
AGE77964.1	HD73_2386
AGE77965.1	HD73_2387
AGE77966.1	HD73_2388
AGE77967.1	HD73_2389
AGE77968.1	HD73_2390
AGE77969.1	HD73_2391
AGE77970.1	HD73_2392
AGE77971.1	HD73_2393
AGE77972.1	HD73_2394
AGE77973.1	HD73_2395
AGE77974.1	HD73_2396
AGE77975.1	HD73_2397
AGE77976.1	HD73_2398
AGE77977.1	HD73_2399
AGE77978.1	HD73_2400
AGE77979.1	HD73_2401
AGE77980.1	HD73_2402
AGE77981.1	HD73_2403
AGE77982.1	HD73_2404
AGE77983.1	HD73_2405
AGE77984.1	HD73_2406
AGE77985.1	HD73_2407
AGE77986.1	HD73_2408
AGE77987.1	HD73_2409
AGE77988.1	HD73_2410
AGE77989.1	HD73_2411
AGE77990.1	HD73_2412
AGE77991.1	HD73_2413
AGE77992.1	HD73_2414
AGE77993.1	HD73_2415
AGE77994.1	HD73_2416
AGE77995.1	HD73_2417
AGE77996.1	HD73_2418
AGE77997.1	HD73_2419
AGE77998.1	HD73_2420
AGE77999.1	HD73_2421
AGE78000.1	HD73_2422
AGE78001.1	HD73_2423
AGE78002.1	HD73_2424
AGE78003.1	HD73_2425
AGE78004.1	HD73_2426
AGE78005.1	HD73_2427
AGE78006.1	HD73_2428
AGE78007.1	HD73_2429
AGE78008.1	HD73_2430
AGE78009.1	HD73_2431
AGE78010.1	HD73_2432
AGE78011.1	HD73_2433
AGE78012.1	HD73_2434
AGE78013.1	HD73_2435
AGE78014.1	HD73_2436
AGE78015.1	HD73_2437
AGE78016.1	HD73_2438
AGE78017.1	HD73_2439
AGE78018.1	HD73_2440
AGE78019.1	HD73_2441
AGE78020.1	HD73_2442
AGE78021.1	HD73_2443
AGE78022.1	HD73_2444
AGE78023.1	HD73_2445
AGE78024.1	HD73_2446
AGE78025.1	HD73_2447
AGE78026.1	HD73_2448
AGE78027.1	HD73_2449
AGE78028.1	HD73_2450
AGE78029.1	HD73_2451
AGE78030.1	HD73_2452
AGE78031.1	HD73_2453
AGE78032.1	HD73_2454
AGE78033.1	HD73_2455
AGE78034.1	HD73_2456
AGE78035.1	HD73_2457
AGE78036.1	HD73_2458
AGE78037.1	HD73_2459
AGE78038.1	HD73_2460
AGE78039.1	HD73_2461
AGE78040.1	HD73_2462
AGE78041.1	HD73_2463
AGE78042.1	HD73_2464
AGE78043.1	HD73_2465
AGE78044.1	HD73_2466
AGE78045.1	HD73_2467
AGE78046.1	HD73_2468
AGE78047.1	HD73_2469
AGE78048.1	HD73_2470
AGE78049.1	HD73_2471
AGE78050.1	HD73_2472
AGE78051.1	HD73_2473
AGE78052.1	HD73_2474
AGE78053.1	HD73_2475
AGE78054.1	HD73_2476
AGE78055.1	HD73_2477
AGE78056.1	HD73_2478
AGE78057.1	HD73_2479
AGE78058.1	HD73_2480
AGE78059.1	HD73_2481
AGE78060.1	HD73_2482
AGE78061.1	HD73_2483
AGE78062.1	HD73_2484
AGE78063.1	HD73_2485
AGE78064.1	HD73_2486
AGE78065.1	HD73_2487
AGE78066.1	HD73_2488
AGE78067.1	HD73_2489
AGE78068.1	HD73_2490
AGE78069.1	HD73_2491
AGE78070.1	HD73_2492
AGE78071.1	HD73_2493
AGE78072.1	HD73_2494
AGE78073.1	HD73_2495
AGE78074.1	HD73_2496
AGE78075.1	HD73_2497
AGE78076.1	HD73_2498
AGE78077.1	HD73_2499
AGE78078.1	HD73_2500
AGE78079.1	HD73_2501
AGE78080.1	HD73_2502
AGE78081.1	HD73_2503
AGE78082.1	HD73_2504
AGE78083.1	HD73_2505
AGE78084.1	HD73_2506
AGE78085.1	HD73_2507
AGE78086.1	HD73_2508
AGE78087.1	HD73_2509
AGE78088.1	HD73_2510
AGE78089.1	HD73_2511
AGE78090.1	HD73_2512
AGE78091.1	HD73_2513
AGE78092.1	HD73_2514
AGE78093.1	HD73_2515
AGE78094.1	HD73_2516
AGE78095.1	HD73_2517
AGE78096.1	HD73_2518
AGE78097.1	HD73_2519
AGE78098.1	HD73_2520
AGE78099.1	HD73_2521
AGE78100.1	HD73_2522
AGE78101.1	HD73_2523
AGE78102.1	HD73_2524
AGE78103.1	HD73_2525
AGE78104.1	HD73_2526
AGE78105.1	HD73_2527
AGE78106.1	HD73_2528
AGE78107.1	HD73_2529
AGE78108.1	HD73_2530
AGE78109.1	HD73_2531
AGE78110.1	HD73_2532
AGE78111.1	HD73_2533
AGE78112.1	HD73_2534
AGE78113.1	HD73_2535
AGE78114.1	HD73_2536
AGE78115.1	HD73_2537
AGE78116.1	HD73_2538
AGE78117.1	HD73_2539
AGE78118.1	HD73_2540
AGE78119.1	HD73_2541
AGE78120.1	HD73_2542
AGE78121.1	HD73_2543
AGE78122.1	HD73_2544
AGE78123.1	HD73_2545
AGE78124.1	HD73_2546
AGE78125.1	HD73_2547
AGE78126.1	HD73_2548
AGE78127.1	HD73_2549
AGE78128.1	HD73_2550
AGE78129.1	HD73_2551
AGE78130.1	HD73_2552
AGE78131.1	HD73_2553
AGE78132.1	HD73_2554
AGE78133.1	HD73_2555
AGE78134.1	HD73_2556
AGE78135.1	HD73_2557
AGE78136.1	HD73_2558
AGE78137.1	HD73_2559
AGE78138.1	HD73_2560
AGE78139.1	HD73_2561
AGE78140.1	HD73_2562
AGE78141.1	HD73_2563
AGE78142.1	HD73_2564
AGE78143.1	HD73_2565
AGE78144.1	HD73_2566
AGE78145.1	HD73_2567
AGE78146.1	HD73_2568
AGE78147.1	HD73_2569
AGE78148.1	HD73_2570
AGE78149.1	HD73_2571
AGE78150.1	HD73_2572
AGE78151.1	HD73_2573
AGE78152.1	HD73_2574
AGE78153.1	HD73_2575
AGE78154.1	HD73_2576
AGE78155.1	HD73_2577
AGE78156.1	HD73_2578
AGE78157.1	HD73_2579
AGE78158.1	HD73_2580
AGE78159.1	HD73_2581
AGE78160.1	HD73_2582
AGE78161.1	HD73_2583
AGE78162.1	HD73_2584
AGE78163.1	HD73_2585
AGE78164.1	HD73_2586
AGE78165.1	HD73_2587
AGE78166.1	HD73_2588
AGE78167.1	HD73_2589
AGE78168.1	HD73_2590
AGE78169.1	HD73_2591
AGE78170.1	HD73_2592
AGE78171.1	HD73_2593
AGE78172.1	HD73_2594
AGE78173.1	HD73_2595
AGE78174.1	HD73_2596
AGE78175.1	HD73_2597
AGE78176.1	HD73_2598
AGE78177.1	HD73_2599
AGE78178.1	HD73_2600
AGE78179.1	HD73_2601
AGE78180.1	HD73_2602
AGE78181.1	HD73_2603
AGE78182.1	HD73_2604
AGE78183.1	HD73_2605
AGE78184.1	HD73_2606
AGE78185.1	HD73_2607
AGE78186.1	HD73_2608
AGE78187.1	HD73_2609
AGE78188.1	HD73_2610
AGE78189.1	HD73_2611
AGE78190.1	HD73_2612
AGE78191.1	HD73_2613
AGE78192.1	HD73_2614
AGE78193.1	HD73_2615
AGE78194.1	HD73_2616
AGE78195.1	HD73_2617
AGE78196.1	HD73_2618
AGE78197.1	HD73_2619
AGE78198.1	HD73_2620
AGE78199.1	HD73_2621
AGE78200.1	HD73_2622
AGE78201.1	HD73_2623
AGE78202.1	HD73_2624
AGE78203.1	HD73_2625
AGE78204.1	HD73_2626
AGE78205.1	HD73_2627
AGE78206.1	HD73_2628
AGE78207.1	HD73_2629
AGE78208.1	HD73_2630
AGE78209.1	HD73_2631
AGE78210.1	HD73_2632
AGE78211.1	HD73_2633
AGE78212.1	HD73_2634
AGE78213.1	HD73_2635
AGE78214.1	HD73_2636
AGE78215.1	HD73_2637
AGE78216.1	HD73_2638
AGE78217.1	HD73_2639
AGE78218.1	HD73_2640
AGE78219.1	HD73_2641
AGE78220.1	HD73_2642
AGE78221.1	HD73_2643
AGE78222.1	HD73_2644
AGE78223.1	HD73_2645
AGE78224.1	HD73_2646
AGE78225.1	HD73_2647
AGE78226.1	HD73_2648
AGE78227.1	HD73_2649
AGE78228.1	HD73_2650
AGE78229.1	HD73_2651
AGE78230.1	HD73_2652
AGE78231.1	HD73_2653
AGE78232.1	HD73_2654
AGE78233.1	HD73_2655
AGE78234.1	HD73_2656
AGE78235.1	HD73_2657
AGE78236.1	HD73_2658
AGE78237.1	HD73_2659
AGE78238.1	HD73_2660
AGE78239.1	HD73_2661
AGE78240.1	HD73_2662
AGE78241.1	HD73_2663
AGE78242.1	HD73_2664
AGE78243.1	HD73_2665
AGE78244.1	HD73_2666
AGE78245.1	HD73_2667
AGE78246.1	HD73_2668
AGE78247.1	HD73_2669
AGE78248.1	HD73_2670
AGE78249.1	HD73_2671
AGE78250.1	HD73_2672
AGE78251.1	HD73_2673
AGE78252.1	HD73_2674
AGE78253.1	HD73_2675
AGE78254.1	HD73_2676
AGE78255.1	HD73_2677
AGE78256.1	HD73_2678
AGE78257.1	HD73_2679
AGE78258.1	HD73_2680
AGE78259.1	HD73_2681
AGE78260.1	HD73_2682
AGE78261.1	HD73_2683
AGE78262.1	HD73_2684
AGE78263.1	HD73_2685
AGE78264.1	HD73_2686
AGE78265.1	HD73_2687
AGE78266.1	HD73_2688
AGE78267.1	HD73_2689
AGE78268.1	HD73_2690
AGE78269.1	HD73_2691
AGE78270.1	HD73_2692
AGE78271.1	HD73_2693
AGE78272.1	HD73_2694
AGE78273.1	HD73_2695
AGE78274.1	HD73_2696
AGE78275.1	HD73_2697
AGE78276.1	HD73_2698
AGE78277.1	HD73_2699
AGE78278.1	HD73_2700
AGE78279.1	HD73_2701
AGE78280.1	HD73_2702
AGE78281.1	HD73_2703
AGE78282.1	HD73_2704
AGE78283.1	HD73_2705
AGE78284.1	HD73_2706
AGE78285.1	HD73_2707
AGE78286.1	HD73_2708
AGE78287.1	HD73_2709
AGE78288.1	HD73_2710
AGE78289.1	HD73_2711
AGE78290.1	HD73_2712
AGE78291.1	HD73_2713
AGE78292.1	HD73_2714
AGE78293.1	HD73_2715
AGE78294.1	HD73_2716
AGE78295.1	HD73_2717
AGE78296.1	HD73_2718
AGE78297.1	HD73_2719
AGE78298.1	HD73_2720
AGE78299.1	HD73_2721
AGE78300.1	HD73_2722
AGE78301.1	HD73_2723
AGE78302.1	HD73_2724
AGE78303.1	HD73_2725
AGE78304.1	HD73_2726
AGE78305.1	HD73_2727
AGE78306.1	HD73_2728
AGE78307.1	HD73_2729
AGE78308.1	HD73_2730
AGE78309.1	HD73_2731
AGE78310.1	HD73_2732
AGE78311.1	HD73_2733
AGE78312.1	HD73_2734
AGE78313.1	HD73_2735
AGE78314.1	HD73_2736
AGE78315.1	HD73_2737
AGE78316.1	HD73_2738
AGE78317.1	HD73_2739
AGE78318.1	HD73_2740
AGE78319.1	HD73_2741
AGE78320.1	HD73_2742
AGE78321.1	HD73_2743
AGE78322.1	HD73_2744
AGE78323.1	HD73_2745
AGE78324.1	HD73_2746
AGE78325.1	HD73_2747
AGE78326.1	HD73_2748
AGE78327.1	HD73_2749
AGE78328.1	HD73_2750
AGE78329.1	HD73_2751
AGE78330.1	HD73_2752
AGE78331.1	HD73_2753
AGE78332.1	HD73_2754
AGE78333.1	HD73_2755
AGE78334.1	HD73_2756
AGE78335.1	HD73_2757
AGE78336.1	HD73_2758
AGE78337.1	HD73_2759
AGE78338.1	HD73_2760
AGE78339.1	HD73_2761
AGE78340.1	HD73_2762
AGE78341.1	HD73_2763
AGE78342.1	HD73_2764
AGE78343.1	HD73_2765
AGE78344.1	HD73_2766
AGE78345.1	HD73_2767
AGE78346.1	HD73_2768
AGE78347.1	HD73_2769
AGE78348.1	HD73_2770
AGE78349.1	HD73_2771
AGE78350.1	HD73_2772
AGE78351.1	HD73_2773
AGE78352.1	HD73_2774
AGE78353.1	HD73_2775
AGE78354.1	HD73_2776
AGE78355.1	HD73_2777
AGE78356.1	HD73_2778
AGE78357.1	HD73_2779
AGE78358.1	HD73_2780
AGE78359.1	HD73_2781
AGE78360.1	HD73_2782
AGE78361.1	HD73_2783
AGE78362.1	HD73_2784
AGE78363.1	HD73_2785
AGE78364.1	HD73_2786
AGE78365.1	HD73_2787
AGE78366.1	HD73_2788
AGE78367.1	HD73_2789
AGE78368.1	HD73_2790
AGE78369.1	HD73_2791
AGE78370.1	HD73_2792
AGE78371.1	HD73_2793
AGE78372.1	HD73_2794
AGE78373.1	HD73_2795
AGE78374.1	HD73_2796
AGE78375.1	HD73_2797
AGE78376.1	HD73_2798
AGE78377.1	HD73_2799
AGE78378.1	HD73_2800
AGE78379.1	HD73_2801
AGE78380.1	HD73_2802
AGE78381.1	HD73_2803
AGE78382.1	HD73_2804
AGE78383.1	HD73_2805
AGE78384.1	HD73_2806
AGE78385.1	HD73_2807
AGE78386.1	HD73_2808
